id	lat	lon	title	description	icon	iconSize	iconOffset
2032	47.3427	17.6814	Nagyboldogasszony templom	<h4 style="margin-top:-20px">(Bakonyszücs)</h4><p><a href="http://miserend.hu/?templom=2032" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2033	47.3894	16.5403	Szent Jakab templom	<h4 style="margin-top:-20px">(Öregtemplom)</h4><p><a href="http://miserend.hu/?templom=2033" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2034	47.3603	17.6032	Szent Mihály templom	<h4 style="margin-top:-20px">(Csót)</h4><p><a href="http://miserend.hu/?templom=2034" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2035	47.9144	22.7227	Szent Imre templom	<h4 style="margin-top:-20px">(Császló)</h4><p><a href="http://miserend.hu/?templom=2035" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2036	47.2419	17.3277	Szent Lőrinc-templom	<h4 style="margin-top:-20px">(Dabrony)</h4><p><a href="http://miserend.hu/?templom=2036" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2037	46.0752	18.2226	Szent Ferenc templom	<h4 style="margin-top:-20px">(Ferences templom)</h4><p><a href="http://miserend.hu/?templom=2037" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2038	47.2856	17.4196	Szent Kereszt Felmagasztalása templom	<h4 style="margin-top:-20px">(Dáka)</h4><p><a href="http://miserend.hu/?templom=2038" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2039	47.3648	16.5744	Szent Lénárd templom	<h4 style="margin-top:-20px">(Kőszegfalva városrész templom)</h4><p><a href="http://miserend.hu/?templom=2039" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2040	47.2325	17.5306	Szent Kereszt Felmagasztalása-templom	<h4 style="margin-top:-20px">(Ganna)</h4><p><a href="http://miserend.hu/?templom=2040" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2041	47.2386	17.534	Szent Vendel kápolna	<h4 style="margin-top:-20px">(Kisganna kápolna)</h4><p><a href="http://miserend.hu/?templom=2041" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2042	47.352	16.6178	Szent Péter és Pál templom	<h4 style="margin-top:-20px">(Nemescsó)</h4><p><a href="http://miserend.hu/?templom=2042" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2043	47.2973	17.2234	Antiochiai Szent Margit-templom	<h4 style="margin-top:-20px">(Külsővat)</h4><p><a href="http://miserend.hu/?templom=2043" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2044	46.0769	18.2153	Xavéri Szent Ferenc-templom	<h4 style="margin-top:-20px">(Pécsi Görögkatolikus templom)</h4><p><a href="http://miserend.hu/?templom=2044" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2045	47.8675	22.7268	Szent Rita-kápolna	<h4 style="margin-top:-20px">(Csengersima)</h4><p><a href="http://miserend.hu/?templom=2045" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2046	47.5393	19.0316	Segítő Szűz Mária-kápolna	<h4 style="margin-top:-20px">(Óbudai Szalézi kápolna)</h4><p><a href="http://miserend.hu/?templom=2046" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2047	47.3403	16.5143	Mindenszentek templom	<h4 style="margin-top:-20px">(Kőszegszerdahely)</h4><p><a href="http://miserend.hu/?templom=2047" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2048	47.4344	17.6246	Nepomuki Szent János-templom	<h4 style="margin-top:-20px">(Lovászpatona)</h4><p><a href="http://miserend.hu/?templom=2048" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2049	46.083	18.2634	Munkás Szent József templom	<h4 style="margin-top:-20px">(Gyárvárosi templom)</h4><p><a href="http://miserend.hu/?templom=2049" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2050	47.9301	22.7545	Szent Család kápolna	<h4 style="margin-top:-20px">(Gacsály)</h4><p><a href="http://miserend.hu/?templom=2050" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2051	47.3317	17.3693	Szent Kereszt Felmagasztalása Templom	<h4 style="margin-top:-20px">(Mezőlak)</h4><p><a href="http://miserend.hu/?templom=2051" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2053	47.327	16.6503	Szent Miklós templom	<h4 style="margin-top:-20px">(Kőszegpaty)</h4><p><a href="http://miserend.hu/?templom=2053" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2054			Jézus Szíve templom	<h4 style="margin-top:-20px">(Túrricse)</h4><p><a href="http://miserend.hu/?templom=2054" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-red.png	24,24	-12,-24
2058	47.5091	19.0073	Kórházkápolna - Szent János Kórház	<h4 style="margin-top:-20px">(Budapest XII. kerület)</h4><p><a href="http://miserend.hu/?templom=2058" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2056	47.3401	17.5498	Szent Móric templom	<h4 style="margin-top:-20px">(Nagygyimót)</h4><p><a href="http://miserend.hu/?templom=2056" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2057	47.9331	22.8517	Misézőhely	<h4 style="margin-top:-20px">(Méhtelek)</h4><p><a href="http://miserend.hu/?templom=2057" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
2059	47.2965	17.5659	Szentháromság templom	<h4 style="margin-top:-20px">(Nagytevel)</h4><p><a href="http://miserend.hu/?templom=2059" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2060	47.3327	16.6997	Bűn nélkül fogantatott Szűz Mária-templom	<h4 style="margin-top:-20px">(Meszlen)</h4><p><a href="http://miserend.hu/?templom=2060" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2061	47.5013	19.0198	Irgalmas Jézus kórházkápolna	<h4 style="margin-top:-20px">(Onkológiai kórházkápolna/SOS ellátás)</h4><p><a href="http://miserend.hu/?templom=2061" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2062	47.6086	18.9923	Szent Vid a 14 segít&#245; szent templom	<h4 style="margin-top:-20px">(Pilisborosjenő)</h4><p><a href="http://miserend.hu/?templom=2062" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2066	47.2707	17.3018	Szent Fülöp apostol templom	<h4 style="margin-top:-20px">(Nemesszalók)</h4><p><a href="http://miserend.hu/?templom=2066" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green.png	24,24	-12,-24
2068	47.2834	17.3615	Szent Joachim templom	<h4 style="margin-top:-20px">(Nyárád)</h4><p><a href="http://miserend.hu/?templom=2068" target="_blank">Ugrás a templom oldalára.</a></p>	images/icons/church-green2.png	24,24	-12,-24
